Tract Code,Tract Income Level,Distressed or Under-served Tract,Tract Median Family Income %,2019 FFIEC Est. MSA/MD non-MSA/MD Median Family Income,2019 Est. Tract Median Family Income,2015 Tract Median Family Income,Tract Population,Tract Minority %,Minority Population,Owner Occupied Units,1- to 4- Family Units,Year,County
0001.00,Middle,No,86.54,"$108,600","$93,982","$79,896",6918,42.37,2931,1081,1555,2019,King
0002.00,Moderate,No,75.68,"$108,600","$82,188","$69,870",7974,43.32,3454,1917,2318,2019,King
0003.00,Middle,No,94.89,"$108,600","$103,051","$87,604",2637,28.71,757,608,1002,2019,King
0004.01,Moderate,No,61.76,"$108,600","$67,071","$57,019",5907,45.18,2669,977,1032,2019,King
0004.02,Middle,No,114.22,"$108,600","$124,043","$105,446",4906,23.22,1139,1048,1394,2019,King
0005.00,Upper,No,157.48,"$108,600","$171,023","$145,388",3044,13.76,419,1183,1354,2019,King
0006.00,Moderate,No,74.61,"$108,600","$81,026","$68,884",7674,37.71,2894,1750,2265,2019,King
0007.00,Middle,No,81.15,"$108,600","$88,129","$74,917",4892,42.83,2095,1082,1256,2019,King
0008.00,Upper,No,128.72,"$108,600","$139,790","$118,839",2487,17.25,429,751,1023,2019,King
0009.00,Upper,No,176.56,"$108,600","$191,744","$163,000",1971,18.26,360,706,891,2019,King
0010.00,Moderate,No,75.19,"$108,600","$81,656","$69,417",2094,45.32,949,408,607,2019,King
0011.00,Middle,No,117.39,"$108,600","$127,486","$108,375",2669,30.72,820,719,907,2019,King
0012.00,Moderate,No,59.23,"$108,600","$64,324","$54,681",6556,40.25,2639,923,1001,2019,King
0013.00,Middle,No,89.21,"$108,600","$96,882","$82,361",4389,40.46,1776,967,1305,2019,King
0014.00,Middle,No,98.80,"$108,600","$107,297","$91,213",5505,20.54,1131,1290,1841,2019,King
0015.00,Upper,No,144.37,"$108,600","$156,786","$133,281",2398,7.96,191,870,1073,2019,King
0016.00,Upper,No,132.50,"$108,600","$143,895","$122,321",4111,17.68,727,1387,1630,2019,King
0017.01,Middle,No,112.12,"$108,600","$121,762","$103,510",4055,32.73,1327,874,1006,2019,King
0017.02,Middle,No,93.98,"$108,600","$102,062","$86,768",4408,25.45,1122,1120,1473,2019,King
0018.00,Middle,No,85.16,"$108,600","$92,484","$78,621",5217,30.07,1569,1103,1870,2019,King
0019.00,Middle,No,119.39,"$108,600","$129,658","$110,221",4723,31.21,1474,1268,1294,2019,King
